SampleID,Condition,Expression
a5e1a78c-7e7a-41e8-8c45-872028f6b5a0,Primary Tumor,7.683153236310307
81152340-ffac-4122-8b21-bef3a474a18e,Solid Tissue Normal,6.483656185410636
ef2621f5-ec61-42ee-879f-9d7615372a5e,Primary Tumor,3.686063450445188
0ece8b9b-d1c3-4f03-b70d-6bc06c6f52ce,Primary Tumor,8.1344478834732
347db78b-ddfc-46ed-9fe4-0ca52ac432ef,Recurrent Tumor,7.256382320523266
94913b2f-256e-4487-90ed-2c9b3869ca6b,Solid Tissue Normal,7.716038154308638
d2436cea-20c9-4c32-98d3-61eb445865be,Primary Tumor,6.553431161711341
911a72ec-dcb3-4454-8f22-7bd4f9d29b21,Primary Tumor,6.21440655421438
334cc9fa-3e9b-4462-b84d-dc595e89d537,Primary Tumor,2.598436671273523
864c2830-c699-433c-bcba-20f0c692854a,Primary Tumor,7.745178159978747
320660cd-100a-4f5a-a604-4de3ced7f042,Primary Tumor,7.868310191340839
a35c257e-f8b8-4d58-8ecb-92b1b0bc59f3,Primary Tumor,7.813313682283251
15998b11-5041-4e2d-94d9-cf714c796c13,Primary Tumor,8.213657855488957
de18a680-86a5-4319-a332-42227d490aa5,Primary Tumor,1.7649405731256065
d54e9279-578f-40cd-8e55-fbd7af5279dd,Primary Tumor,6.796457589042685
515aa64c-316b-497e-b877-7ab0c89a58bd,Primary Tumor,7.345944520910398
26c96b62-02b6-4108-9a2d-bec3d880db2a,Primary Tumor,6.871162297103833
04778fc1-a821-4029-a383-d88e711f3bee,Primary Tumor,0.2798872548411305
51847dea-489f-4df9-84f8-26a6f2579620,Primary Tumor,7.037645784109752
3973bbdc-bc07-4deb-955b-3c40e88a68be,Primary Tumor,8.031024041882599
e1638627-67cc-44f9-9a79-6748968a06af,Primary Tumor,6.139250503768788
e9d3cac1-3a16-4e21-8fe8-a4944ce82cb8,Primary Tumor,5.691416913266655
db07bd22-cf7a-4504-9491-1bdeb1e14339,Primary Tumor,2.0692209589308392
9835daf0-92cc-4237-838d-b122a15aa1f1,Primary Tumor,7.4212241409372846
b4de06a8-883b-4d02-afc6-d926c588c4ee,Primary Tumor,8.387939765319993
9ffe0bdc-838e-4715-8fd3-31f032c8f46e,Primary Tumor,8.60013555033922
6525f4e0-ba79-4576-89b3-df0ab6e45309,Primary Tumor,6.746694352871739
1a4c524e-8e75-436e-8ccf-cce6ae3d6eb3,Primary Tumor,6.823504815000307
63f5b69e-2307-4be6-98e4-b0f57b6394d0,Primary Tumor,7.421705519826027
22cae278-eb88-4685-9ff7-667e53b50a34,Primary Tumor,6.78101342515858
21285d92-3596-4a82-91ae-a99e22479a3c,Primary Tumor,6.565621545497065
76ac1fee-bf40-463f-a4d8-cb9affe0e7c5,Primary Tumor,3.2266010072960283
50966d1a-3934-4fb5-9fc4-71f399cf5105,Primary Tumor,8.184051135300141
a4b8b2f2-6a56-4999-bd95-c2c8e4aa3bd0,Solid Tissue Normal,7.206125482986563
f2dbb2df-c98b-42d1-9fad-9708bc42fa03,Primary Tumor,7.210932344493076
129f7ee5-6342-4a24-9317-d52462ce6a70,Primary Tumor,8.834702684282858
2281a9d6-bd48-418a-9ad1-04b06a251e47,Primary Tumor,7.587151181371533
7181e057-0ec7-410b-b0fe-ff8de3d14d98,Primary Tumor,8.811639604836854
b817c1a8-7e62-423e-b7e0-eb9136fe0455,Primary Tumor,7.825636822788304
82a68e91-48cc-400b-8520-4abcbff1a163,Primary Tumor,7.660860893425735
41e96482-bc24-4a1a-8ef2-8ef4d525ad40,Primary Tumor,5.120886879299346
